keyID,avg_mark
10016,3.307692308
10017,3.862745098
10019,4.2
10116,4
10117,3.923076923
10118,4.020408163
10119,4.217391304
10216,3.9
10217,3.825396825
10218,3.6
10219,2.5
10316,4.373333333
10317,3.696969697
10318,3.651162791
10319,4.714285714
10416,4.5
10417,3.459459459
10418,3.605263158
10419,3.620689655
10516,3.842105263
10517,4.014285714
10518,4.265306122
10519,3.466666667
10616,4.631578947
10617,4.532258065
10618,4.545454545
10619,3.538461538
10716,4.917808219
10717,4.85915493
10718,4.066666667
10719,3.9375
10816,3.952380952
10817,4.457142857
10819,3.68
20016,4.616438356
20017,3.769230769
20018,4.096774194
20019,3.6875
20116,3.666666667
20117,2
20118,4.367346939
20119,4.913043478
20216,3.637681159
20217,4.746031746
20218,3.666666667
20219,3.615384615
20316,4.540540541
20317,3.111111111
20319,3.964285714
20416,4.567567568
20417,3.686567164
20418,3.613636364
20419,3.862068966
20516,4.564705882
20517,3.235294118
20518,3.918367347
20519,3.666666667
20616,4.493670886
20618,4.302325581
20619,4.44
20716,2
20717,3.632352941
20718,3.977777778
20719,4.1875
20816,4.939393939
20818,4.256410256
20819,3.4
30016,4.643835616
30017,4.296296296
30116,3.5
30117,3.970149254
30118,3.4
30119,4.913043478
30216,3.471428571
30217,4.111111111
30218,3.5
30219,3.615384615
30316,3.875
30317,3.838235294
30318,4.083333333
30319,4.428571429
30416,4.253333333
30417,4.820895522
30418,3.526315789
30419,4
30516,4.506024096
30517,4.376811594
30518,3.897959184
30519,3.75
30616,3.173913043
30617,4.590163934
30618,3.738095238
30619,4.041666667
30716,4.835616438
30718,4.555555556
30719,4.3125
30816,4.083333333
30817,3.4
30818,4.609756098
30916,3.285714286
40016,3.802469136
40017,4.065217391
40018,3.8
40019,3.666666667
40116,4.025974026
40117,4.343283582
40118,3.361702128
40119,3.055555556
40216,3.352941176
40218,2.857142857
40219,3.692307692
40316,4.253333333
40317,3
40318,3.043478261
40416,3.814814815
40417,3.701492537
40418,3
40419,3.964285714
40516,4.674698795
40517,4.144927536
40518,4.387755102
40519,4.033333333
40616,4.886075949
40617,3.5
40618,3.976190476
40619,3.84
40716,4.205479452
40717,4.366197183
40718,4.224489796
40816,4.428571429
40817,4.3125
40818,4
40916,3.857142857
50016,3.947368421
50018,3.897435897
50019,3.714285714
50116,3.4
50117,3.984848485
50118,3.9375
50119,3.913043478
50216,4.507246377
50217,3.266666667
50218,3.409090909
50219,3.384615385
50316,4.489361702
50317,4.651515152
50318,4.255319149
50416,4.8
50417,4.484848485
50418,4.166666667
50419,3.896551724
50516,3.988235294
50517,3.714285714
50518,3.346938776
50519,3.76
50616,4.618421053
50617,4.177419355
50618,3.4
50619,4.28
50716,3.791666667
50717,3.545454545
50718,3.921568627
50719,3.703703704
50816,4.171428571
50817,4.893617021
50818,4.196078431
50916,4.641791045
60016,3.973684211
60018,3.967741935
60116,3.722891566
60117,2
60118,3.653061224
60119,3.869565217
60216,3.674418605
60217,4.476190476
60218,3.666666667
60219,3.428571429
60316,4.988095238
60317,4.393939394
60318,3.393939394
60319,3.346153846
